stem,stem_nepali,slot,surface_form,gloss,verified
gar,गर्,1SG.PRES,गर्छु,I do,YES
gar,गर्,2SG.PRES,गर्छस्,you do (informal),YES
gar,गर्,2SG.PRES.MID,गर्छौ,you do (friendly),YES
gar,गर्,3SG.PRES,गर्छ,he/she does,YES
gar,गर्,1PL.PRES,गर्छौं,we do,YES
gar,गर्,2PL.PRES,गर्छौ,you all do,YES
gar,गर्,3PL.PRES,गर्छन्,they do,YES
gar,गर्,2HON.PRES,गर्नुहुन्छ,you do (honorific),YES
gar,गर्,3HON.PRES,गर्नुहुन्छ,he/she does (honorific),YES
gar,गर्,1SG.PAST,गरें,I did,YES
gar,गर्,2SG.PAST,गर्यौ,you did (informal),YES
gar,गर्,3SG.PAST,गर्यो,he/she did,YES
gar,गर्,1PL.PAST,गर्यौं,we did,YES
gar,गर्,2PL.PAST,गर्यौ,you all did,YES
gar,गर्,3PL.PAST,गरे,they did,YES
gar,गर्,2HON.PAST,गर्नुभयो,you did (honorific),YES
gar,गर्,3HON.PAST,गर्नुभयो,he/she did (honorific),YES
gar,गर्,1SG.FUT,गर्नेछु,I will do,YES
gar,गर्,2SG.FUT,गर्नेछस्,you will do (informal),YES
gar,गर्,3SG.FUT,गर्नेछ,he/she will do,YES
gar,गर्,1PL.FUT,गर्नेछौं,we will do,YES
gar,गर्,3PL.FUT,गर्नेछन्,they will do,YES
gar,गर्,2HON.FUT,गर्नुहुनेछ,you will do (honorific),YES
gar,गर्,3HON.FUT,गर्नुहुनेछ,he/she will do (honorific),YES
kha,खा,1SG.PRES,खान्छु,I eat,YES
kha,खा,2SG.PRES,खान्छस्,you eat (informal),YES
kha,खा,2SG.PRES.MID,खान्छौ,you eat (friendly),YES
kha,खा,3SG.PRES,खान्छ,he/she eats,YES
kha,खा,1PL.PRES,खान्छौं,we eat,YES
kha,खा,2PL.PRES,खान्छौ,you all eat,YES
kha,खा,3PL.PRES,खान्छन्,they eat,YES
kha,खा,2HON.PRES,खानुहुन्छ,you eat (honorific),YES
kha,खा,3HON.PRES,खानुहुन्छ,he/she eats (honorific),YES
kha,खा,1SG.PAST,खाएँ,I ate,YES
kha,खा,2SG.PAST,खायौ,you ate (informal),YES
kha,खा,3SG.PAST,खायो,he/she ate,YES
kha,खा,1PL.PAST,खायौं,we ate,YES
kha,खा,2PL.PAST,खायौ,you all ate,YES
kha,खा,3PL.PAST,खाए,they ate,YES
kha,खा,2HON.PAST,खानुभयो,you ate (honorific),YES
kha,खा,3HON.PAST,खानुभयो,he/she ate (honorific),YES
kha,खा,1SG.FUT,खानेछु,I will eat,YES
kha,खा,2SG.FUT,खानेछस्,you will eat (informal),YES
kha,खा,3SG.FUT,खानेछ,he/she will eat,YES
kha,खा,1PL.FUT,खानेछौं,we will eat,YES
kha,खा,3PL.FUT,खानेछन्,they will eat,YES
kha,खा,2HON.FUT,खानुहुनेछ,you will eat (honorific),YES
kha,खा,3HON.FUT,खानुहुनेछ,he/she will eat (honorific),YES
ja,जा,1SG.PRES,जान्छु,I go,YES
ja,जा,2SG.PRES,जान्छस्,you go (informal),YES
ja,जा,2SG.PRES.MID,जान्छौ,you go (friendly),YES
ja,जा,3SG.PRES,जान्छ,he/she goes,YES
ja,जा,1PL.PRES,जान्छौं,we go,YES
ja,जा,2PL.PRES,जान्छौ,you all go,YES
ja,जा,3PL.PRES,जान्छन्,they go,YES
ja,जा,2HON.PRES,जानुहुन्छ,you go (honorific),YES
ja,जा,3HON.PRES,जानुहुन्छ,he/she goes (honorific),YES
ja,जा,1SG.PAST,गएँ,I went,YES
ja,जा,2SG.PAST,गयौ,you went (informal),YES
ja,जा,3SG.PAST,गयो,he/she went,YES
ja,जा,1PL.PAST,गयौं,we went,YES
ja,जा,2PL.PAST,गयौ,you all went,YES
ja,जा,3PL.PAST,गए,they went,YES
ja,जा,2HON.PAST,जानुभयो,you went (honorific),YES
ja,जा,3HON.PAST,जानुभयो,he/she went (honorific),YES
